epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4008.76,0.04519,0.77309,0.88615,0.74595,0.68473,0.76841,0.76835,0.14468,0.63952,0.20303,0.00616774,0.00616774,0.00616774
62,4073.35,0.04542,0.76865,0.88767,0.68958,0.75343,0.78007,0.78006,0.11172,0.58711,0.15167,0.00610387,0.00610387,0.00610387
63,4138.82,0.04776,0.76517,0.88646,0.75587,0.69737,0.77359,0.77357,0.13746,0.62166,0.18661,0.00604,0.00604,0.00604
64,4203.74,inf,0.76419,0.88881,0.72493,0.72489,0.78613,0.7853,0.09925,0.56609,0.12752,0.00597613,0.00597613,0.00597613
65,4268.28,0.0447,0.76421,0.88564,0.7326,0.69883,0.77804,0.77765,0.15453,0.63175,0.21102,0.00591226,0.00591226,0.00591226
66,4332.53,0.04377,0.76355,0.88694,0.75343,0.70158,0.77463,0.77459,0.13424,0.63234,0.18085,0.00584839,0.00584839,0.00584839
67,4397.51,0.04234,0.75404,0.88449,0.70861,0.72784,0.77547,0.77542,0.11752,0.61095,0.16102,0.00578452,0.00578452,0.00578452
68,4461.7,0.04198,0.74725,0.88702,0.74537,0.67945,0.77298,0.7725,0.10983,0.61086,0.15234,0.00572065,0.00572065,0.00572065
69,4525.3,0.04307,0.75876,0.8874,0.7369,0.72499,0.79415,0.79415,0.09894,0.55926,0.1394,0.00565677,0.00565677,0.00565677
70,4589.65,0.04179,0.73314,0.88638,0.7218,0.72722,0.77862,0.77862,0.11423,0.60183,0.16013,0.0055929,0.0055929,0.0055929
71,4654.04,0.04284,0.74945,0.88835,0.73384,0.7411,0.79769,0.79769,0.12209,0.58347,0.17002,0.00552903,0.00552903,0.00552903
72,4718.58,0.04209,0.73656,0.88635,0.72078,0.74998,0.79742,0.79742,0.12923,0.60724,0.17269,0.00546516,0.00546516,0.00546516
73,4784.03,0.04147,0.73077,0.88506,0.74924,0.72302,0.79565,0.79565,0.14008,0.60466,0.19264,0.00540129,0.00540129,0.00540129
74,4849.39,0.03995,0.74408,0.88815,0.76304,0.73077,0.8056,0.8056,0.11256,0.57071,0.15972,0.00533742,0.00533742,0.00533742
75,4915.3,0.04002,0.72665,0.88851,0.7528,0.71812,0.79828,0.79828,0.0996,0.57324,0.13569,0.00527355,0.00527355,0.00527355
76,4980.64,inf,0.73446,0.88486,0.72651,0.75181,0.79691,0.79691,0.11165,0.55939,0.14562,0.00520968,0.00520968,0.00520968
77,5047.12,0.03933,0.71658,0.88532,0.72791,0.75705,0.80154,0.80154,0.10785,0.56726,0.14831,0.00514581,0.00514581,0.00514581
78,5112.95,0.03823,0.71867,0.88451,0.75179,0.72502,0.7976,0.7976,0.10696,0.55928,0.15139,0.00508194,0.00508194,0.00508194
79,5176.32,0.03777,0.71596,0.8868,0.75754,0.73095,0.80041,0.80041,0.10374,0.55884,0.14364,0.00501806,0.00501806,0.00501806
80,5239.82,0.037,0.69889,0.88341,0.75488,0.7194,0.79913,0.79913,0.09665,0.56303,0.13342,0.00495419,0.00495419,0.00495419
81,5304,0.03812,0.70286,0.88637,0.71308,0.76868,0.79643,0.79643,0.09154,0.56847,0.12659,0.00489032,0.00489032,0.00489032
82,5368.12,0.03723,0.70508,0.88559,0.71941,0.74755,0.79773,0.79773,0.13114,0.57497,0.17888,0.00482645,0.00482645,0.00482645
83,5431.43,0.03707,0.69723,0.88502,0.70056,0.78188,0.80406,0.80406,0.07544,0.49577,0.10244,0.00476258,0.00476258,0.00476258
84,5494.91,0.03621,0.69736,0.88429,0.74073,0.74219,0.80068,0.80068,0.11844,0.57895,0.15547,0.00469871,0.00469871,0.00469871
85,5558.5,0.03568,0.69214,0.88569,0.70169,0.79066,0.81007,0.81007,0.12493,0.57406,0.16898,0.00463484,0.00463484,0.00463484
86,5622.47,0.03549,0.69265,0.8855,0.77289,0.72528,0.80797,0.80797,0.13749,0.58645,0.18707,0.00457097,0.00457097,0.00457097
87,5685.6,0.03551,0.68387,0.88796,0.73809,0.75392,0.80658,0.80658,0.13393,0.58593,0.18392,0.0045071,0.0045071,0.0045071
88,5749.29,0.03514,0.68858,0.88593,0.72299,0.77546,0.8064,0.8064,0.08798,0.53352,0.11894,0.00444323,0.00444323,0.00444323
89,5813.78,0.03521,0.6769,0.88837,0.76403,0.74415,0.81437,0.81437,0.08272,0.52982,0.11614,0.00437935,0.00437935,0.00437935
90,5877.61,0.03465,0.69917,0.88378,0.74925,0.76857,0.8188,0.8188,0.10274,0.54859,0.14444,0.00431548,0.00431548,0.00431548
91,5941.35,inf,0.68418,0.883,0.75271,0.77516,0.81851,0.81851,0.1209,0.55544,0.16765,0.00425161,0.00425161,0.00425161
92,6006.48,0.0342,0.67227,0.88594,0.7644,0.75152,0.8186,0.81854,0.1301,0.56905,0.17968,0.00418774,0.00418774,0.00418774
93,6070.94,0.03345,0.67239,0.8865,0.75086,0.75759,0.81961,0.81961,0.13653,0.56965,0.18803,0.00412387,0.00412387,0.00412387
94,6135.72,0.03332,0.67405,0.88304,0.76988,0.74643,0.82167,0.82167,0.12445,0.55364,0.16973,0.00406,0.00406,0.00406
95,6201.11,inf,0.66801,0.88468,0.73951,0.77643,0.81917,0.81917,0.11071,0.52657,0.14807,0.00399613,0.00399613,0.00399613
96,6266.51,0.03263,0.66018,0.88319,0.73872,0.78879,0.8232,0.8232,0.11386,0.54616,0.15363,0.00393226,0.00393226,0.00393226
